Date,BOLL,CCI,DMA,KDJ,MTM,MACD,SAR
2000-06-08,1831.6411,101.0967,84.8752,86.3343,30.6520,37.4914,1883.5901
2000-06-09,1835.2548,50.6670,83.5864,72.5341,-2.7010,35.3414,1894.9160
2000-06-12,1838.1870,21.9095,82.2345,68.6804,-3.6930,34.1930,1884.6160
2000-06-13,1842.1115,124.8645,85.4101,78.1935,39.5820,34.9871,1895.7368
2000-06-14,1846.9442,130.5749,86.3141,76.7457,6.7460,34.7012,1904.3242
2000-06-15,1854.2364,110.2405,87.5677,80.9415,7.2540,34.8791,1913.2936
2000-06-16,1862.0401,72.6179,86.1028,75.8173,1.7380,33.3972,1919.4030
2000-06-19,1869.5246,1.5994,85.4300,66.3397,14.4180,30.9192,1949.1710
2000-06-20,1876.8615,-105.0969,79.7173,49.7680,-17.2090,27.0413,1948.3970
2000-06-21,1884.1151,-65.7423,74.6887,47.9025,-25.5430,25.1135,1945.9844
2000-06-22,1891.3652,-29.3971,71.4630,47.0565,-18.3890,23.3783,1943.6683
2000-06-23,1898.3302,59.4418,72.9523,59.4966,-2.6580,23.8047,1941.4448
2000-06-26,1904.8999,132.3938,74.1090,70.5970,21.6950,24.5863,1894.6340
2000-06-27,1909.4446,101.3620,72.0969,75.0647,27.6930,24.4606,1895.8081
2000-06-28,1913.8833,96.3581,70.8129,80.3842,52.1330,24.4489,1896.9587
2000-06-29,1917.0282,48.4072,68.1963,78.7101,24.1300,23.3459,1898.0863
2000-06-30,1918.8513,11.1936,66.4237,72.9177,14.2050,21.4853,1899.1914
2000-07-03,1919.4675,-123.9410,62.4553,51.3231,-43.9900,17.1926,1953.0640
2000-07-04,1919.8207,-100.1757,61.8249,44.2948,-40.7080,14.6142,1951.8133
2000-07-05,1921.0405,-51.3062,59.8209,40.2525,-33.7110,12.5277,1949.2707
2000-07-06,1921.3482,-73.1423,57.5755,34.1597,-44.9290,10.2210,1946.8298
2000-07-07,1922.4752,7.6643,55.0575,45.6809,-4.4690,10.7095,1944.4866
2000-07-10,1923.6972,77.5948,52.7832,61.1937,19.9150,12.1851,1896.6590
2000-07-11,1926.0606,114.7637,52.0061,74.1043,64.9040,14.2010,1897.6871
2000-07-12,1927.9002,143.0053,51.7835,82.3339,65.4430,16.6423,1900.2034
2000-07-13,1929.5991,134.6672,52.5300,86.5301,70.0140,18.8302,1904.6560
2000-07-14,1931.9832,135.0127,55.4212,91.0096,84.6400,20.9673,1911.0088
2000-07-17,1935.1252,122.7337,61.1886,88.9185,49.6870,22.0267,1918.6302
2000-07-18,1938.2570,108.8317,66.0471,91.3116,45.9650,23.5236,1928.1472
2000-07-19,1940.5552,102.8622,70.0563,92.2036,37.8850,24.7826,1936.5221
2000-07-20,1942.8348,79.8332,73.6068,88.7885,18.1860,24.9388,1946.0335
2000-07-21,1944.9137,78.8211,74.4467,87.7570,17.1350,25.1579,1954.2134
2000-07-24,1947.3097,61.9966,72.8754,80.3355,2.0470,24.4768,1961.2480
2000-07-25,1950.4393,66.7875,71.0383,80.4662,14.0980,24.2496,1967.2979
2000-07-26,1954.9382,107.4851,69.1943,86.9137,18.3330,25.0510,1972.4084
2000-07-27,1958.7543,133.5968,67.4330,81.9325,13.9240,25.3959,1978.8063
2000-07-28,1962.5579,124.8862,65.2938,78.9389,21.2330,25.4120,1987.1208
2000-07-31,1965.7853,145.4604,65.4237,84.8815,27.2030,25.9923,1993.9387
2000-08-01,1968.8434,157.1724,64.9187,87.5041,38.9120,26.5186,1999.5294
2000-08-02,1972.2198,125.6700,64.6406,90.0077,34.1060,26.8307,2006.0085
2000-08-03,1975.6359,135.9216,66.0028,91.9322,23.9820,27.2177,2011.4450
2000-08-04,1979.0628,85.4012,66.0704,85.0922,14.0110,26.4177,2013.4500
2000-08-07,1983.3441,96.7916,68.2750,88.5778,26.6260,26.5316,2017.9030
2000-08-08,1989.2779,139.0991,70.1600,92.2703,26.3770,27.1558,2022.5790
2000-08-09,1995.1721,154.6833,71.7135,94.7839,33.0290,28.2340,2028.0778
2000-08-10,2001.2012,152.6466,73.8237,95.5064,35.2600,29.1369,2034.7190
2000-08-11,2007.3594,132.3346,75.8827,92.5292,26.3650,29.2509,2041.3242
2000-08-14,2012.8790,140.9912,77.6147,95.0046,49.9390,30.0944,2047.1190
2000-08-15,2017.8329,121.3713,79.4563,93.8250,37.4040,30.4541,2052.9608
2000-08-16,2022.5608,116.0372,81.7660,95.8833,33.5510,30.9188,2058.9158
2000-08-17,2027.1074,127.7178,83.9669,96.9228,30.4060,31.5782,2063.8261
2000-08-18,2031.3760,115.8871,86.5611,93.7432,24.2400,31.6231,2069.5267
2000-08-21,2036.0490,135.2267,89.5656,95.7245,46.0240,32.7742,2075.0843
2000-08-22,2039.5960,73.4759,89.3237,75.2690,-1.5970,30.5914,2114.5220
2000-08-23,2042.0550,-91.8431,86.4850,69.4509,-18.9040,27.1936,2113.7220
2000-08-24,2044.8525,-24.1475,84.4293,68.8619,-12.3060,25.2781,2108.3869
2000-08-25,2048.5118,34.5590,83.6378,72.3302,-4.8830,24.7290,2103.2652
2000-08-28,2052.5214,94.3575,82.3587,78.0911,10.4020,25.1244,1980.3450
2000-08-29,2056.9921,108.4819,81.0215,83.1468,-3.2140,25.5380,1982.7521
2000-08-30,2060.0523,29.1094,77.0288,79.2301,1.4400,23.2311,1987.6674
2000-08-31,2060.3938,-187.9665,67.8442,62.9694,-36.7200,16.7760,1994.8932
2000-09-01,2059.9134,-204.2533,57.6071,46.8274,-71.3020,9.8250,2108.0970
2000-09-04,2059.8292,-160.3743,46.5591,39.1130,-76.1010,5.1241,2105.8894
2000-09-05,2057.5312,-153.6748,35.0501,27.0181,-136.7930,-2.3514,2100.9030
2000-09-06,2053.5987,-174.2142,22.2804,18.4292,-179.5690,-11.2037,2092.4243
2000-09-07,2050.5210,-129.8282,9.9625,17.1760,-125.4800,-16.0368,2078.9182
2000-09-08,2047.5599,-98.7589,-3.4007,17.9031,-61.8870,-18.9506,2066.4926
2000-09-11,2045.4708,-72.7091,-17.7830,20.6879,-27.8160,-20.0020,2055.0610
2000-09-12,2043.1506,-54.5699,-31.8444,26.8967,-31.5070,-20.0353,2044.5440
2000-09-13,2040.8052,-33.9565,-42.1601,39.1270,25.1440,-19.0480,2035.3242
2000-09-14,2037.6639,-34.7039,-47.8685,45.2475,53.5980,-18.8097,2028.1717
2000-09-15,2034.2982,-38.8002,-50.9239,48.9607,27.7710,-18.4941,2022.4042
2000-09-18,2029.8400,-67.3852,-57.2834,43.4024,-12.5590,-20.5633,2017.8439
2000-09-19,2023.1805,-178.9413,-62.1995,31.4940,-68.8890,-25.4282,2010.6771
2000-09-20,2017.2369,-150.6478,-61.5396,30.7051,-56.8060,-27.4234,1996.8547
2000-09-21,2010.4615,-124.4365,-64.4374,25.3322,-81.6300,-29.8694,1982.2137
2000-09-22,2002.7845,-141.8536,-69.2660,18.0984,-87.5210,-32.6676,1969.6224
2000-09-25,1994.5432,-138.5161,-76.7479,12.5338,-102.5230,-35.7698,1956.5774
2000-09-26,1986.0486,-106.8387,-83.7513,12.1979,-58.9240,-36.8420,1941.7512
2000-09-27,1979.8710,-56.9989,-89.5495,20.5638,10.9320,-35.1676,1929.5938
2000-09-28,1973.3852,-63.4826,-96.5257,18.4103,-33.0000,-35.4331,1919.6247
2000-09-29,1967.1929,-47.7250,-101.6295,31.2479,2.8550,-33.5723,1911.4501
2000-10-09,1960.6024,-29.5397,-103.2920,46.5581,23.3660,-31.3179,1886.9410
2000-10-10,1954.5087,40.7981,-98.3040,64.3618,66.2380,-27.0569,1887.5434
2000-10-11,1947.9030,72.5490,-95.5884,69.7881,45.8970,-24.0820,1889.7285
2000-10-12,1942.1407,59.4754,-91.9661,70.0625,12.2380,-22.0674,1893.2256
2000-10-13,1938.1775,57.7305,-87.4561,65.8165,28.8680,-20.8890,1896.5129
2000-10-16,1934.4448,-16.3701,-82.3517,52.5384,-7.3520,-20.9520,1897.9060
2000-10-17,1930.5559,-17.8713,-77.8123,47.3327,-5.8600,-20.2297,1896.9450
2000-10-18,1928.9810,50.7115,-74.7797,50.8926,-19.3040,-18.3678,1899.1280
2000-10-19,1928.5008,34.0370,-69.9090,44.6818,-20.3060,-17.4517,1901.1194
2000-10-20,1928.3774,111.5228,-64.6014,62.7564,21.1310,-13.8199,1902.6942
2000-10-23,1928.3630,180.3670,-58.6330,74.1685,40.7810,-9.9011,1906.2762
2000-10-24,1927.7592,140.2183,-55.3421,79.8203,53.5350,-6.9248,1911.7346
2000-10-25,1927.6884,168.2897,-49.3108,85.8407,67.7640,-2.8460,1917.7820
2000-10-26,1926.8706,135.9910,-43.2105,85.4008,44.8280,-0.3823,1926.3514
2000-10-27,1926.4052,100.9065,-36.3804,85.0008,53.9850,1.5310,1935.0354
2000-10-30,1926.2184,95.6268,-27.2491,86.6175,26.1230,3.5050,1942.3299
2000-10-31,1926.7774,70.1230,-19.7587,81.7955,2.3490,4.0311,1948.4572
2000-11-01,1929.6316,75.0959,-12.1848,86.2700,21.0190,5.6798,1953.6042
2000-11-02,1932.0151,103.4967,-2.9543,84.7920,7.0060,7.4570,1957.8266
2000-11-03,1934.8738,90.0807,2.6344,81.9551,13.9580,8.5547,1964.1321
2000-11-06,1938.6887,105.8950,8.2082,86.4105,23.7680,10.0784,1969.3026
2000-11-07,1943.3490,127.0339,13.8340,90.9403,23.4990,11.6283,1974.0179
2000-11-08,1948.1597,171.1853,18.2996,93.9131,51.6210,13.9729,1978.6297
2000-11-09,1952.7134,199.1031,25.5541,95.9263,55.1190,17.2121,1985.5013
2000-11-10,1958.7968,203.3093,34.3443,95.9206,63.1980,20.7485,1994.9047
2000-11-13,1964.9748,195.9680,44.6613,97.0122,89.1570,25.1438,2006.1919
2000-11-14,1971.5043,161.5934,57.4515,98.0081,93.9450,29.4440,2019.2914
2000-11-15,1976.8795,138.6604,67.7905,95.5695,84.8280,32.2212,2032.4567
2000-11-16,1983.1202,122.8267,77.4672,97.0275,83.0760,35.1531,2044.4953
2000-11-17,1989.5399,107.9517,86.7601,94.6850,60.7530,36.8302,2054.8059
2000-11-20,1996.5873,91.4764,95.9659,95.4192,53.9310,38.3749,2064.7845
2000-11-21,2004.0939,92.4072,103.3726,91.8718,27.1940,38.8760,2072.7674
2000-11-22,2011.9329,87.2594,109.6642,94.5624,28.1850,40.0478,2080.7963
2000-11-23,2019.4942,99.3906,114.9844,93.4766,37.5340,40.9990,2087.3067
2000-11-24,2024.8769,11.0602,113.6944,65.5825,-42.6140,36.0065,2125.7240
2000-11-27,2028.8083,-67.6240,110.0302,50.0263,-43.5640,31.3897,2124.1198
2000-11-28,2033.4413,-24.7243,107.4519,50.2196,-21.9930,29.7859,2120.4322
2000-11-29,2037.7163,-47.5411,104.4398,46.1189,-30.4870,27.2407,2116.8922
2000-11-30,2041.3070,-68.3681,100.0805,44.4932,-42.6900,25.1848,2113.4938
2000-12-01,2045.6982,-23.2867,96.8731,47.4005,-37.5960,24.1829,2110.2312
2000-12-04,2050.4957,13.5006,93.0404,52.9978,38.7690,23.9437,2107.9330
2000-12-05,2055.0377,29.2383,88.6389,56.5627,41.9990,23.4460,2105.8533
2000-12-06,2059.4353,-17.6976,81.8045,53.2905,-3.7690,21.5091,2103.9008
2000-12-07,2063.1923,-51.8971,74.0103,57.5151,7.5490,19.7000,2102.5587
2000-12-08,2066.6117,-28.7415,72.3660,53.6101,2.5500,17.9080,2100.0489
2000-12-11,2069.0903,-124.6557,68.6032,39.7851,-35.7670,14.1392,2097.6897
2000-12-12,2071.7011,-116.5362,63.1444,38.3956,-33.0860,12.0604,2092.9948
2000-12-13,2073.9720,-89.9960,59.1662,35.8230,-35.5500,10.0604,2087.4854
2000-12-14,2075.4401,-89.8078,53.9770,31.2786,-24.5480,7.9766,2082.5270
2000-12-15,2075.7048,-133.2557,47.1451,22.2225,-35.6800,5.3186,2078.0644
2000-12-18,2075.5927,-131.2723,39.8018,24.3062,-28.6180,3.5888,2073.1224
2000-12-19,2074.7560,-60.4485,33.4003,30.1885,2.9560,2.5506,2066.2853
2000-12-20,2074.2233,-0.1945,30.2136,46.6759,12.2150,3.4820,2024.2860
2000-12-21,2074.0302,70.7814,27.3865,59.1021,20.7660,4.6201,2025.2265
2000-12-22,2073.0219,45.5730,24.0148,63.5992,18.6890,4.8914,2027.6950
2000-12-25,2072.0580,41.4588,22.9173,65.7493,28.8100,4.9210,2030.0647
2000-12-26,2071.0918,77.2989,21.3031,71.4878,31.7210,5.5336,2032.3397
2000-12-27,2069.5634,27.6093,18.8075,65.7252,9.2120,4.5129,2034.5237
2000-12-28,2067.2711,-29.6560,16.2643,59.4681,-17.5640,3.2996,2036.3414
2000-12-29,2065.5033,51.4569,17.1552,62.0100,-3.4090,3.8887,2038.0782
2001-01-02,2067.4302,177.8714,20.1570,74.6321,33.7010,6.6985,2039.7456
2001-01-03,2070.2852,229.6049,24.2926,83.0876,55.7250,10.4533,2043.5731
2001-01-04,2071.7470,177.5152,26.1032,84.5357,41.1390,12.7579,2049.9993
2001-01-05,2073.9703,142.3157,27.7921,88.8039,67.0560,15.0480,2057.7412
2001-01-08,2075.1800,82.1585,28.3285,80.6981,48.3600,14.8171,2064.7090
2001-01-09,2075.9220,40.1776,29.0735,74.9266,27.6580,14.3932,2072.7815
2001-01-10,2077.2095,87.7351,30.7218,80.7657,22.1460,15.8499,2079.8854
2001-01-11,2078.2661,88.1438,33.9760,81.5810,-4.7580,16.2942,2086.1367
2001-01-12,2079.3861,37.7337,36.6705,71.8223,-12.6580,15.3083,2091.6379
2001-01-15,2077.7476,-120.8477,31.5509,48.5879,-92.8570,8.5936,2131.3680
2001-01-16,2076.6985,-147.4916,24.6984,42.6330,-56.1770,4.3073,2129.3464
2001-01-17,2076.2565,-118.7647,15.0168,35.6313,-66.5510,-0.0017,2124.4808
2001-01-18,2075.6433,-104.2060,6.9832,33.2504,-82.5050,-2.6975,2119.8098
2001-01-19,2076.0082,-61.4058,0.3513,37.7740,-53.5350,-2.9843,2115.3256
2001-02-05,2074.3525,-104.0880,-8.2633,25.8057,-96.7150,-7.7678,2111.0209
2001-02-06,2072.6583,-151.2685,-17.3359,24.6504,-37.1280,-12.4415,2104.7006
2001-02-07,2070.1735,-126.7059,-29.7999,21.3363,-65.9480,-17.1880,2092.8188
2001-02-08,2065.6006,-159.6934,-45.6649,14.9542,-104.4460,-24.6836,2081.8875
2001-02-09,2061.2045,-131.2905,-57.6623,16.9419,-86.1400,-28.1345,2066.3388
2001-02-12,2056.7559,-109.0529,-62.1442,19.2366,-104.3850,-30.1785,2052.3449
2001-02-13,2052.6697,-76.4374,-67.6229,21.2926,-44.5040,-31.2520,2039.7504
2001-02-14,2048.6323,-69.8018,-72.0656,22.5884,-32.1150,-31.7630,2028.4154
2001-02-15,2043.6405,-75.5829,-78.3923,19.6386,-33.4600,-33.1353,2019.0926
2001-02-16,2039.1682,-100.8326,-87.2070,24.5102,11.8260,-34.1930,2010.7421
2001-02-19,2035.8545,-49.1835,-89.5388,37.8265,10.5800,-32.5910,1998.8775
2001-02-20,2031.2292,-37.2842,-91.8194,43.5875,-8.0030,-32.1077,1988.4367
2001-02-21,2023.7622,-124.3409,-95.4793,32.4771,-54.2020,-34.8646,1979.2489
2001-02-22,2015.4299,-166.7081,-94.5624,26.8386,-55.9400,-36.7920,1968.3227
2001-02-23,2008.4661,-94.3108,-93.9395,34.2748,-10.1330,-35.5625,1956.3964
2001-02-26,2001.8523,-1.2666,-92.1574,45.7737,11.3770,-32.8383,1893.7830
2001-02-27,1996.4668,54.2180,-89.7041,56.7885,-5.5080,-29.6356,1894.9828
2001-02-28,1991.0070,55.0091,-87.4563,63.0302,5.9620,-27.0169,1897.6748
2001-03-01,1984.8342,68.1638,-83.3820,69.4780,55.7950,-24.1834,1901.7156
2001-03-02,1979.6792,128.9626,-77.2686,78.8408,77.8510,-20.0932,1907.0469
2001-03-05,1975.0427,136.4652,-73.8243,82.6929,47.8540,-16.7324,1915.0811
2001-03-06,1973.4126,120.8937,-69.0198,87.2139,36.7190,-13.4411,1924.5280
2001-03-07,1971.3084,118.4981,-59.4772,89.3807,29.1350,-10.6201,1932.8412
2001-03-08,1970.0128,121.9190,-49.0088,92.2449,41.7200,-7.5133,1941.8029
2001-03-09,1968.8032,125.3784,-40.6890,92.9605,46.5390,-4.1353,1951.4747
2001-03-12,1966.7627,107.2622,-34.2317,93.7374,27.4410,-1.3703,1962.9998
2001-03-13,1966.4037,73.8556,-29.6491,86.7218,14.4990,-0.2936,1973.5193
2001-03-14,1967.2999,94.6034,-23.0971,91.1458,28.5560,2.1422,1981.9348
2001-03-15,1968.9408,123.9194,-16.3758,90.9565,31.4240,4.3441,1989.2716
2001-03-16,1972.4061,99.2499,-11.7303,89.2606,19.3360,5.8310,1996.8839
2001-03-19,1975.4694,126.2863,-5.8256,92.8318,24.9570,8.2363,2002.9737
2001-03-20,1978.7222,152.9429,0.1953,95.1332,33.2410,10.7589,2009.7050
2001-03-21,1982.6784,187.6313,7.9142,96.7550,67.6910,14.2558,2016.9522
2001-03-22,1987.4604,198.2793,15.9916,97.8367,68.9160,18.5196,2026.8400
2001-03-23,1991.5781,123.4515,20.1828,85.3231,30.9380,18.9374,2038.9784
2001-03-26,1997.2672,124.0471,27.5876,88.8458,69.6450,21.9480,2049.9725
2001-03-27,2002.6406,147.5517,38.3677,92.5485,70.6410,25.4429,2058.7678
2001-03-28,2008.5505,128.0299,47.5340,93.0482,61.0810,27.8604,2068.4746
2001-03-29,2015.9478,104.0632,55.7547,91.4443,35.2680,29.0209,2077.3555
2001-03-30,2023.8523,97.9418,65.2591,94.2504,25.2430,30.4862,2084.4602
2001-04-02,2031.1114,113.5398,73.6454,95.3876,71.5450,32.2687,2090.1440
2001-04-03,2037.6388,98.2794,80.9329,94.0205,33.1710,33.1355,2097.5086
2001-04-04,2042.5879,48.1667,84.0638,79.2514,-16.5390,30.8577,2129.8290
2001-04-05,2048.4887,42.0417,86.7014,78.7834,5.7260,30.4669,2128.9310
2001-04-06,2054.0073,61.7228,92.1309,71.1740,6.9480,29.4949,2127.0395
2001-04-09,2059.0941,60.2332,93.1810,72.1617,4.5920,29.0962,2125.2237
2001-04-10,2064.6433,123.1886,93.6513,80.5072,3.3950,29.3386,2081.6440
2001-04-11,2070.0793,125.6744,94.1673,85.0438,8.3450,29.4270,2082.5821
2001-04-12,2075.6032,137.1939,95.6476,86.0921,44.0790,29.4322,2084.6591
2001-04-13,2081.1609,147.8403,97.3142,90.7087,32.8000,29.9466,2088.0945
2001-04-16,2087.1762,207.1694,98.4111,93.7985,59.4530,31.8159,2092.6819
2001-04-17,2093.4888,192.3559,100.1466,95.6985,59.3120,33.6055,2100.2215
2001-04-18,2100.1759,151.9611,104.4786,94.0952,44.0850,34.2964,2109.4539
2001-04-19,2106.1088,102.2862,105.6509,93.1558,41.4730,34.4712,2119.2941
